type,symbol,open,high,low,close,value,dayChange,dayChangePerc,tsInMillis,Time
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43551.4,-45.44999999999709,-0.10425065113648599,1670574393,13:55:03.205216
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43545.35,-51.5,-0.11812780051769795,1670574395,13:55:04.369123
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43548.3,-48.549999999995634,-0.11136125660453826,1670574396,13:55:06.619077
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43549.2,-47.650000000001455,-0.1092968872751161,1670574398,13:55:08.020147
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43547.6,-49.25,-0.11296687719410921,1670574399,13:55:09.238870
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43548.45,-48.400000000001455,-0.11101719504964568,1670574401,13:55:10.536467
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43551.85,-45,-0.10321846647177492,1670574402,13:55:11.926925
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43548.9,-47.94999999999709,-0.10998501038491794,1670574403,13:55:13.204579
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43547.25,-49.599999999998545,-0.11376968748888636,1670574405,13:55:15.985947
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43550,-46.849999999998545,-0.10746189231561122,1670574408,13:55:17.676819
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43550.35,-46.5,-0.10665908202083407,1670574409,13:55:19.082741
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43550.05,-46.799999999995634,-0.10734720513063589,1670574410,13:55:20.213657
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43554.5,-42.349999999998545,-0.09714004566843372,1670574411,13:55:21.323148
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555.8,-41.049999999995634,-0.09415817885924244,1670574413,13:55:22.683603
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43555.15,-41.69999999999709,-0.09564911226383807,1670574414,13:55:23.777475
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.15,-36.69999999999709,-0.0841803937669742,1670574415,13:55:25.183688
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.7,-39.150000000001455,-0.08980006583044751,1670574416,13:55:26.324205
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.25,-39.599999999998545,-0.09083225049515858,1670574418,13:55:28.018809
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43558.95,-37.900000000001455,-0.08693288620623155,1670574419,13:55:29.300083
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43558,-38.849999999998545,-0.08911194272062901,1670574421,13:55:30.708255
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43561.4,-35.44999999999709,-0.08131321414275823,1670574422,13:55:31.804959
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43558.8,-38.049999999995634,-0.0872769477611241,1670574423,13:55:33.086083
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43557.9,-38.94999999999709,-0.08934131709056294,1670574424,13:55:34.183143
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.2,-36.650000000001455,-0.08406570658201558,1670574426,13:55:35.502771
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.65,-36.19999999999709,-0.0830335219172878,1670574427,13:55:36.907651
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43559.8,-37.049999999995634,-0.08498320406175133,1670574428,13:55:38.016860
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43558.25,-38.599999999998545,-0.08853850679578582,1670574429,13:55:39.137249
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.45,-36.400000000001455,-0.08349227065717238,1670574430,13:55:40.243950
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43560.8,-36.049999999995634,-0.08268946036237856,1670574432,13:55:41.650213
LIVE_INDEX,BANKNIFTY,43765.3,43853.4,43460.6,43596.85,43563.15,-33.69999999999709,-0.07729916266885586,1670574433,13:55:42.775178
